Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 13:06:21	 134 	c1256 	3047 	107 	  76 	104088 	  5413 	 131 	0 	1 	011016E055
2020-05-16 13:06:33	 727 	c1256 	3048 	114 	  76 	104352 	  5414 	 129 	0 	1 	011016E055
2020-05-16 13:08:08	 638 	c1256 	3049 	120 	  76 	104240 	  5408 	 139 	0 	1 	011016E61D
2020-05-16 13:08:16	 644 	c1256 	3050 	127 	  76 	103952 	  5406 	 139 	0 	1 	011016E61D
2020-05-16 13:10:54	 967 	c1256 	3051 	134 	  76 	104072 	  5412 	 131 	0 	1 	011016E055
2020-05-16 13:11:03	 743 	c1256 	3053 	144 	  76 	104296 	  5411 	 129 	0 	1 	011016E055
2020-05-16 13:11:04	 181 	c1256 	3054 	148 	  74 	103792 	  5195 	 123 	0 	1 	011016E055
2020-05-16 13:11:45	 748 	c1256 	3055 	154 	  76 	103848 	  5413 	 129 	0 	1 	011016E055
2020-05-16 13:11:51	  76 	c1256 	3056 	160 	  76 	104040 	  5423 	 139 	0 	1 	011016E61D
2020-05-16 13:11:52	 939 	c1256 	3057 	166 	  76 	104048 	  5411 	 129 	0 	1 	011016E055
2020-05-16 13:11:58	 765 	c1256 	3058 	172 	  76 	104200 	  5419 	 139 	0 	1 	011016E61D
2020-05-16 13:12:12	 903 	c1256 	3060 	180 	  76 	104104 	  5414 	 131 	0 	1 	011016E055
2020-05-16 13:12:22	 599 	c1256 	3061 	188 	 113 	107296 	  9562 	 197 	0 	1 	011016E055
2020-05-16 13:12:47	 613 	c1256 	3063 	198 	  76 	104056 	  5424 	 139 	0 	1 	011016E61D
2020-05-16 13:12:48	 247 	c1256 	3064 	204 	  76 	104200 	  5419 	 139 	0 	1 	011016E61D
2020-05-16 13:12:54	 921 	c1256 	3065 	209 	  76 	104040 	  5423 	 139 	0 	1 	011016E61D
2020-05-16 13:12:55	 967 	c1256 	3065 	215 	   9 	     0 	     0 	   1 	0 	0 	
2020-05-16 13:13:14	 559 	c1256 	3066 	219 	  76 	104088 	  5413 	 128 	0 	1 	011016E055
2020-05-16 13:13:20	  92 	c1256 	3067 	229 	  76 	104272 	  5410 	 129 	0 	1 	011016E055
2020-05-16 13:13:28	  12 	c1256 	3068 	235 	  76 	104048 	  5398 	 139 	0 	1 	011016E61D
2020-05-16 13:13:35	 674 	c1256 	3069 	243 	  76 	104000 	  5421 	 139 	0 	1 	011016E61D
2020-05-16 13:13:59	 410 	c1256 	3070 	251 	  76 	103848 	  5413 	 129 	0 	1 	011016E055
2020-05-16 13:14:03	 836 	c1256 	3072 	  5 	  76 	103880 	  5415 	 131 	0 	1 	011016E055
2020-05-16 13:14:20	 868 	c1256 	3073 	 13 	 113 	107040 	  9526 	 133 	0 	1 	011016E61D
2020-05-16 13:14:35	1124 	c1256 	3074 	 21 	  76 	103984 	  5433 	 139 	0 	1 	011016E61D
2020-05-16 13:16:03	 578 	c1256 	3075 	 29 	  76 	104088 	  5413 	 131 	0 	1 	011016E055
2020-05-16 13:16:07	 321 	c1256 	3076 	 35 	  76 	104128 	  5415 	 131 	0 	1 	011016E055
2020-05-16 13:17:21	 198 	c1256 	3077 	 43 	  76 	104072 	  5412 	 130 	0 	1 	011016E055
2020-05-16 13:17:28	 873 	c1256 	3078 	 51 	  76 	103992 	  5408 	 129 	0 	1 	011016E055
2020-05-16 13:18:33	  98 	c1256 	3079 	 57 	  76 	103824 	  5412 	 129 	0 	1 	011016E055
2020-05-16 13:18:41	 808 	c1256 	3080 	 63 	  76 	104168 	  5417 	 131 	0 	1 	011016E055
2020-05-16 13:19:00	 268 	c1256 	3081 	 69 	  76 	104296 	  5411 	 131 	0 	1 	011016E055
2020-05-16 13:19:05	 939 	c1256 	3082 	 77 	  76 	104048 	  5411 	 129 	0 	1 	011016E055
2020-05-16 13:20:25	 987 	c1256 	3084 	 85 	  93 	105688 	  7225 	 199 	0 	1 	0300030EFF
