"","Date","Hmsec","CounterID","RFID","nestbox","year","latency"
"1",2019-05-03 08:07:45," 500 ","c1252 ","011016E3A5","mw140","2019",209
"2",2019-05-03 08:07:07," 914 ","c1252 ","01101715AF","mw140","2019",171
"3",2019-05-03 08:51:40," 124 ","c1252 ","0300024FEF","mw140","2019",2844
"4",2019-05-03 08:04:16," 453 ","c1252 ","0300030EFF","mw140","2019",0
