"","Date","Hmsec","CounterID","RFID","nestbox","year","latency"
"1",2020-05-15 12:27:03," 207 ","c1254 ","01101701B5","mw113","2020",1526
"2",2020-05-15 12:01:37," 314 ","c1254 ","0300030EFF","mw113","2020",0
