"","Date","Hmsec","CounterID","RFID","nestbox","year","latency"
"1",2019-05-07 11:26:17," 979 ","c1272 ","01103F8B9A","mw44","2019",238
"2",2019-05-07 11:22:19,"  92 ","c1272 ","0300024FEF","mw44","2019",0
