"","Date","Hmsec","CounterID","RFID","nestbox","year","latency"
"1",2021-05-20 09:59:20,"1104 ","c1252 ","01103F5952","mw25","2021",1580
"2",2021-05-20 09:33:00,"  46 ","c1252 ","0300030EFF","mw25","2021",0
