"","Date","Hmsec","CounterID","RFID","nestbox","year","latency"
"1",2021-05-24 11:16:20," 348 ","c1252 ","01103F68B8","mw4","2021",2521
"2",2021-05-24 11:04:01," 292 ","c1252 ","01103FE30A","mw4","2021",1782
"3",2021-05-24 10:34:19," 181 ","c1252 ","0300030EFF","mw4","2021",0
