"","Date","Hmsec","CounterID","RFID","nestbox","year","latency"
"1",2020-05-20 09:04:42," 282 ","c1254 ","011016FBDD","mw89","2020",688
"2",2020-05-20 09:06:12,"1021 ","c1254 ","011017193C","mw89","2020",778
"3",2020-05-20 08:53:14," 493 ","c1254 ","0300030EFF","mw89","2020",0
