"","Date","Hmsec","CounterID","RFID","nestbox","year","latency"
"1",2020-05-24 10:35:10," 123 ","c1256 ","01103FE70C","mw29","2020",233
"2",2020-05-24 10:31:17," 326 ","c1256 ","0300030EFF","mw29","2020",0
