FinalAudit,site,boxNumber,nestAttempt,Species,currentNestStatus,dateLastChecked,comments,firstEggLayDate,lastEggLayDate,lastEggLayDateCertainty1/0,eggWeight,numberEggsWeighed,weighDate,accidentalBreakage,finalClutchSize,IncubationConfirmed,incubationStartDate,checkHatchingDate,actualHatchDate,hatchCertainty1/0,numberEggsNotViable,expectedAdultTrappingDate,actualMaleTrappingDate,actualFemaleTrappingDate,trappingStatusTU/TN,Antenna PIT tag ID 1,BTO ring derived from Antenna ID 1,Bird Sex derived from Antenna ID 1,Antenna Pit tag ID 2,BTO ring derived from Antenna ID 2,Bird Sex derived from Antenna ID 2,numberTrapAttemptsF,numberTrapAttemptsM,Female Ring number from trapping,Feacal sample female?,Male ring number from trapping,Feacal sample male?,expectedPullusRingingDate,actualPullusRingingDate,totalPullusRinged,numberPullusNotRinged,Feacal sample?,numberFledged,numberDeadPreRinged,preRingedDeadID,numberDeadPostRinged,postRingedDeadID,dateNestCleaned,site+boxNumber,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
,MW,129,1,BLUTI,YN8(9)/NP/EN0/GRETI/VC2/14:56-15:56,03/06/2021,,65,72,0,,,,,8,,UNK,,87,0,0,97,,,,01103FB3CE,,,,,,,,,,,,101,101,7,0,,8,,,,,,MW129,N0,,,,,,,,,,,,,,,,N0,,,,,,N2,,,,,N3,,,,,N4,,,,,N5,,,,,N5,,,,,N3,,,,,EN3/CO/NP/11:30,,,,EN7/CO/NP/10:40,,,,,,,,,,,,,,,,,,,,,,,,YN8(9)/NP/EN0/GRETI/VC2/14:56-15:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,131,1,BLUTI,EMPTY,25/06/2021,BT alarm,57,64,0,,,,,7,1,64,75,80,1,1,NA,,,,01103FB267,,,01103F93FC,,,,,,,,,94,93,6,0,,6,,,,,117,MW131,N0,,,,,,,,,,,,,,,,N0,,,,,,N2,,,,,N1,,,,,N2/BLUTI?,,,,,N4,,,,,EN1/CO/NP/BLUTI/13:03,,,,,EN5/CO/NP/BLUTI/11:32,,,,,EN7/CO/NP/BLUTI/11:20,,,,EN7/FP/NDX/FL/BLUTI/17:10,,,,EN7/YN0/NP/WA/BLUTI/10:30,EN7/YN0/FP/NDX/FL/WA/BLUTI/12:50,,EN7/YN0/FP/NDX/FL/WA/12:00,,EN3/YN4(1)/NP/BLUTI/12:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
,MW,138,,,N0,10/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW138,N0,,,,,,,,,,,,,,,,N0,,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,140,1,BLUTI,YN3(1)/EN4/NP/10:10,10/05/2021,,46,55,0,,,,,8,1,58,69,71,1,1,81,NA,NA,,01103F9341,,,01103FBDD3,,,,,,,,,85,85,6,0,,7,,,,,,MW140,N0,,,,,,,,,,,,,,,,N3,,,,,,N5,,,,,N5,,,,,EN2/CO/NP/11:50,,,,,EN5/CO/NP/BLUTI/11:25,,,,,EN8/CO/NP/12:30,,,,,EN8/FP/FL/BLUTI/10:45,,,,,INC,,,EN8/YN0/NDX/FL/13:19,YN3(1)/EN4/NP/10:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,141,1,BLUTI,NP/YN6(1)/EN2/9:00,20/05/2021,didn't lay continuously ,56,66,1,,,,,8,1,68,79,81,1,2,91,NA,NA,,011016B51D,,,011016AD9B,,,,,,,,,95,93,6,0,,6,,,,,,MW141,N0,,,,,,,,,,,,,,,,N0,,,,,,N3,,,,,N4,,,,,N4,,,,,N5,,,,,EN2/CO/NP/BLUTI/12:40,,,,,EN4/CO/NP/BLUTI/10:55,,,,,EN8/CO/NP/BLUTI/11:40,,,EN8/NP/WA/13:40,EN8/FP/FX/BLUTI/10:25,,,,,,,,NP/EN8/WA/11:15,,NP/YN6(1)/EN2/9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,142,,,N0,10/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW142,N0,,,,,,,,,,,,,,,,N0,,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,143,1,BLUTI,YX6(2)/ABANDONED,21/05/2021,,55,61,1,,,,,7,1,63,74,77,1,0,NA,NA,NA,,,,,,,,,,,,,,91,NA,,,,Abandoned,,,,,82,MW143,N0,,,,,,,,,,,,,,,,N2,,,,,,N3,,,,,N3,,,,,N4,,,,,N5,,,,,EN3/CO/BLUTI/NP/11:35,,,,,EN7/CO/NP/09:40,,,,,EN6/NP/WA/10:20,,,,INC,,,,EN6/FP/FX/BLUTI/12:25,,FP/FX/YN4+(1)/EN1+/BLUTI/12:00,,,,,YX6(2)/ABANDONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,144,1,BLUTI,FP/FX/YN4(1)/EN2/11:25/BLUTI,18/05/2021,,57,62,1,,,,,6,1,64,75,79,1,3,89,NA,NA,,01103F8A20,,,011016B599,,,,,,,,,93,93,3,0,,3,,,,,,MW144,N0,,,,,,,,,,,,,,,,N0,,,,,,NC,,,,,N1,,,,,N4,,,,,N3,,,,,EN1/CO/NP/11:35,,,,,EN4/CO/NP/9:40,,,,,EN6/NP/WA/10:20,,,,INC,,,,EN6/FP/FX/BLUTI/12:25,,FP/FX/EN6/BLUTI/12:01,,FP/FX/YN4(1)/EN2/11:25/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CH,1,1,GRETI,YN?(1)/EN?/FP/FX/GRETI/15:50,01/05/2021,,43,49,1,,,,,6,1,49,60,62,1,,73,,,,,,,,,,,,,,,,76,,,,,,,,,,,CH1,,,,,,,,,,,,,,,,,,,,,,,N4,,,,,,EN1/CO/NP/GRETI/13:27,,,,EN5/NP/CO/8:30,,,,,,,,,,INC,,,EN7/FP/FX/GRETI,,YN?(1)/EN?/FP/FX/GRETI/15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CH,2,,,N0,26/04/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH2,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,N0,,,,N0,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,92,1,BLUTI,VC1/NP/9:09-10:30/NP,18/05/2021,,50,58,1,,,,,9,1,58,69,74,1,0,84,,,,,,,,,,,,,,,,88,87,5,0,,9,,,,,,MV92,,,,,,,,,,,,,,,,,,,,,,,,,,,,N3 I THINK (FORGOT TO WRITE),,,,,N4,,,,,N5/EN3/CO/NP/14:24/BLUTI,,,,,EN8/CO/NP/BLUTI/10:25,,,,,EN9/NP/WA/BLUTI/11:56,,,,,INC,,,EN9/FP/ND/FL/15:07,EN9/NP/WA/12:40,,EN9/NP/LW/BLUTI/11:05,,FP/YN6+(2)/FX/BLUTI/11:55,,,,VC1/NP/9:09-10:30/NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
