FinalAudit,site,boxNumber,nestAttempt,Species,currentNestStatus,dateLastChecked,comments,firstEggLayDate,lastEggLayDate,lastEggLayDateCertainty1/0,eggWeight,numberEggsWeighed,weighDate,accidentalBreakage,finalClutchSize,IncubationConfirmed,incubationStartDate,checkHatchingDate,actualHatchDate,hatchCertainty1/0,numberEggsNotViable,expectedAdultTrappingDate,actualMaleTrappingDate,actualFemaleTrappingDate,trappingStatusTU/TN,Antenna PIT tag ID 1,BTO ring derived from Antenna ID 1,Bird Sex derived from Antenna ID 1,Antenna Pit tag ID 2,BTO ring derived from Antenna ID 2,Bird Sex derived from Antenna ID 2,numberTrapAttemptsF,numberTrapAttemptsM,Female Ring number from trapping,Feacal sample female?,Male ring number from trapping,Feacal sample male?,expectedPullusRingingDate,actualPullusRingingDate,totalPullusRinged,numberPullusNotRinged,Feacal sample?,numberFledged,numberDeadPreRinged,preRingedDeadID,numberDeadPostRinged,postRingedDeadID,dateNestCleaned,site+boxNumber,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
,MV,105,1,BLUTI,EMPTY,25/06/2021,,54,62,1,,,,,9,1,62,74,75,1,0,85,,,,,,,,,,,,,,,,89,90,9,0,,9,,,,,117,MV105,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5,,,,,N5,,,,,N5,,,,,EN4/CO/NP/BLUTI/10:13,,,,,EN9/FP/NDX/FL/WA/BLUTI/12:25,,,,,INC,,,,INC,,,,FP/FX/YN2(1)/EN6+/BLUTI/12:10,,,,,,FP/FX/11:39/VC2-13:02/FP/FX/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
,MV,106,1,BLUTI,EN3,25/06/2021,nest possibly abandoned ,55,57,1,,,,,3,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,117,MV106,,,,,,,,,,,,,,,,,,,,,,,,,,,,N4,,,,,N4,,,,,N5,,,,,EN3/CO/NP/BLUTI/11:00,,,,,EN3/NP/CO/BLUTI/13:13,,,,,EN3/CO/NP/BLUTI/12:13 loads of tiny beetles in nest,,,,EN3/NP/CO/BLUTI/12:50 beetles (possible abandoned nest),,,,,EN3/NP/CO/BLUTI/9:07 beetles still,,,,,,,,,,EN3/CO/NP/9:00 BEETLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN3,,,,,,,,,,,,,,,,,,,,
,MV,107,,,N0,10/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MV107,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLD/CLEANED,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,108,,,N0,10/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MV108,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,109,1,GRETI,NP/VC1/11:30-12:50/FP/FX/GRETI,20/05/2021,,52,58,1,,,,,7,1,58,70,76,1,0,87,,,,,,,,,,,,,,,,90,90,4,0,,7,,,,,,MV109,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLD/CLEANED,,,,,N4,,,,,N5/EN1/CO/NP/13:40/GRETI,,,,,EN6/CO/NP/GRETI/10:45,,,,,EN7/FP/FX/GRETI/12:15,,,,,INC,,,EN7/YN0/FP/NDX/FX/14:38,EN7/YN0/FP/FX/GRETI/12:55,,EN7/YN0/FP/NDX/FX/GRETI/10:55,,FP/FX/EN6+/YN0/GREATI/12:06,,,,,,NP/VC1/11:30-12:50/FP/FX/GRETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,110,1,BLUTI,YX6+(2)/EN1,20/05/2021,,50,58,1,,,,,9,1,63,75,74,1,1,NA,,,,,,,,,,,,,,,,NA,,,,,,,,,,,MV110,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5,,,,,N5,,,,,N5/EN3/CO/NP/14:02/BLUTI,,,,,EN8/CO/NP/BLUTI/10:40,,,,,EN9/CO/NP/BLUTI/12:10,,,,,EN9/FP/FX/BLUTI/13:02,,,,FP/EN9/FX/BLUTI/12:50,,,,FP/YN8(2)/EN1/12:05,,,,,,YX6+(2)/EN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,111,,,N0,10/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MV111,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLD/CLEANED,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,112,1,BLUTI,FP/FX/YN6+(1)/EN1+/10:25/BLUTI,18/05/2021,,56,66,0,,,,,9,1,66,78,79,1,1,89,,,,,,,,,,,,,,,,93,93,6,0,,8,,,,,,MV112,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLD/CLEANED,,,,,N2,,,,,N5,,,,,EN2/CO/NP/BLUTI/10:31,,,,,EN5/CO/NP/BLUTI/12:10,,,,,EN9/WA/NP/BLUTI/13:00,,,,INC,,,,,,,,FP/FX/YN6+(1)/EN1+/10:25/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,113,1,GRETI,YN0/abandoned/cleaned,25/05/2021,MARKED AS 112 ON BOX,52,59,1,,,,,8,1,59,71,72,1,,83,NA,NA,,,,,,,,,,,,,,86,NA,,,,Abandoned,,,,,86,MV113,,,,,,,,,,,,,,,,,,,,,,,,,,,,N4 NEW?,,,,,N4,,,,,N5/EN1/CO/NP/14:07/GRETI,,,,,EN6/CO/NP/GRETI/10:30,,,,,EN8/FP/FX/GRETI/12:10,,,,,INC,,,,FP/FX/EN8/GRETI/12:50,,EN1/YN7(2)/FP/ND/FX/GRETI/10:55,,,,,,,,,,,,,YN0/abandoned/cleaned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,114,,,N0,10/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MV114,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,114B,,BLUTI,FP/FL/YN2(1)/EN0/BLUTI/09:15,18/05/2021,EGG ALREADY BROKEN WHEN CHECKED,63,64,0,,,,,2,1,64,76,79,1,0,89,,,,,,,,,,,,,,,,93,93,2,0,,2,,,,,,MV114B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5/EN1(X)/CO/NP/12:10,,,,,EN2/WA/NP/12:55,,,,INC,,,,,,,,FP/FL/YN2(1)/EN0/BLUTI/09:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,115,1,BLUTI,FP/FX/YN5+(3)/BLUTI/9:40,23/05/2021,,56,70,1,,,,,9,1,70,82,82,0,0,92,,,,,,,,,,,,,,,,96,95,6,0,,9,,,,,,MV115,,,,,,,,,,,,,,,,,,,,,,,,,,,,N3 NEW?,,,,,N3,,,,,N4,,,,,EN2/CO/NP/BLUTI/10:20,,,,,EN1/CO/NP/BLUTI/11:58,,,,,EN6/CO/NP/12:35,,,,FP/FX/EN9/BLUTI/12:50,,,,,,,,,,MISSED,,,FP/FX/YN5+(3)/BLUTI/9:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,116,,,BEE NEST,11/04/2021,BEE NEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MV116,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEE NEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,117,1,BLUTI,VC2/11:51/NP-12:56/FX/FP/BLUTI,14/05/2021,,47,56,1,,,,,10,1,58,70,70,1,0,80,,,,,,,,,,,,,,,,84,84,2,0,,10,,,,,,MV117,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5,,,,,EN1/CO/NP/13:45,,,,,N5/EN5/CO/NP/14:20/BLUTI,,,,,EN10/CO/NP/10:15,,,,,EN10/FP/FX/BLUTI/11:50,,,,,INC,,,EN9/YN1(1)/FP/NDX/FL/15:10,INC,,,,VC2/11:51/NP-12:56/FX/FP/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,118,1,,MISSED,10/05/2021,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MV118,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN1/NP/CO/14:15,,,,,EN1/CO/NP/13:40,,,,,N5/EN1/CO/NP/14:18,,,,,EN1/CO/NP/10:15,,,,,EN1/CO/NP/OLD,,,,,EN1 (OLD),,,,MISSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,119,1,GRETI,YN0/ABANDONDED/CLEANED/16:00,19/05/2021,,53,59,1,,,,,6,1,59,NA,71,1,,NA,,,,,,,,,,,,,,,,NA,,,,,Abandoned,,,,,80,MV119,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLD/CLEANED,,,,,N0,,,,,N4,,,,,EN5/CO/NP/10:10,,,,,EN6/FP/FX/GRETI/11:42,,,,,INC,,,,YN4(1)/EN2/FL/GRETI/12:35,,,,VC1/11:51/NP-12:53/FP/FX/GRETI,,,,,YN0/ABANDONDED/CLEANED/16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,120,1,,MISSED,10/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MV120,,,,,,,,,,,,,,,,,,,,,,,,,,,,N1,,,,,N2,,,,,N4,,,,,N5,,,,,N5,,,,,N5 OLD,,,,MISSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,121,1,,MISSED,10/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MV121,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5,,,,,N5,,,,,N5,,,,,N5,,,,,N5 (OLD?),,,,,N5 OLD,,,,MISSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,122,1,BLUTI,YX7(9)/abandonded/cleaned,26/05/2021,,52,58,1,,,,,7,1,58,70,72,1,0,NA,,,,,,,,,,,,,,,,NA,,,,,Abandoned,,,,,86,MV122,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5/FP/FL/EN0/BLUTI/13:45,,,,,N5/FP/FL/EN0/BLUTI/13:30,,,,,N5/EN1/CO/NP/14:13/BLUTI,,,,,EN6/CO/NP/10:10,,,,,EN7/WA/NP/BLUTI/11:35,,,,,INC,,,EN7/YN0/NP/WA/BT/14:45,EN7/WA/NP/12:47,,EN0/YN7(2)/NP/BLUTI/11,,,,,,,,,,,,,,YX7(9)/abandonded/cleaned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,123,1,GRETI,YN5,10/05/2021,,41,47,1,,,,,7,1,47,59,62,1,0,73,,,,NA,,,NA,,,,,,,,,76,76,6,0,,7,,,,,,MV123,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN2/CO/NP/13:30,,,,,EN7/CO/NP/GRETI/13:20,,,,,N5/EN7/FP/FX/ND/13:47/GRETI,,,,,INC,,,FP/FX/EN7/GRETI/12:30,,YN7(1)/EN0/NP/12:20,,,,,VC3/12:07/FP/FX-13:07/FP/FX,,,,YN5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,124,,,N0,10/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MV124,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSED/NOT VERRIFIED ,,,,,OLD/CLEANED,,,,,N0,,,,,N0,,,,,N0,,,,,INC,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,125,1,BLUTI,YN3(1)/EN3/FP/FX/12:55,10/05/2021,,52,57,0,,,,,6,1,58,70,71,1,0,81,,,,,,,,,,,,,,,,85,84,6,0,,6,,,,,,MV125,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSED/NOT VERRIFIED ,,,,,N5,,,,,N5/EN1/CO/NP/13:50/BLUTI,,,,,EN5/CO/NP/10:50/GRETI?,,,,,EN6/WA/NP/BLUTI/12:24,,,,,INC,,,EN6/YN0/FP/NDX/FL/BLUTI/14:48,YN3(1)/EN3/FP/FX/12:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,126,1,BLUTI,EN1/YN5(2)/FP/NDX/FX/BLUTI/10:50,12/05/2021,,52,57,1,,,,,6,1,58,70,72,1,0,82,,,,,,,,,,,,,,,,86,87,5,0,,6,,,,,,MV126,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSED/NOT VERRIFIED ,,,,,N5,,,,,N5/EN1/CO/NP/13:53,,,,,EN6/CO/NP/BLUTI/10:50,,,,,EN6/WA/NP/12:25,,,,,INC,,,EN6?/YN0/FP/NDX/FX/BLUTI/14:52 Female has bald head,EN6/WA/NP/13:00,,EN1/YN5(2)/FP/NDX/FX/BLUTI/10:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,127,1,BLUTI,YN3(1)/EN6+/FP/FX/BLUTI/12:00,20/05/2021,,52,67,1,,,,,11,1,68,80,81,1,1,91,,,,,,,,,,,,,,,,95,95,8,0,,10,,,,,,MV127,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSED/NOT VERRIFIED ,,,,,N5,,,,,N5/EN1/CO/NP/13:56,,,,,EN3/CO/NP/BLUTI/10:55,,,,,EN6/CO/NP/12:30,,,,,EN11/CO/NP/BLUTI/12:15,,,,EN11/NP/WA/13:05,,,,,,,,,,YN3(1)/EN6+/FP/FX/BLUTI/12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,128,,,NOT FOUND,16/04/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MV128,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSED/NOT VERRIFIED ,,,,,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,129,1,BLUTI,EMPTY,25/06/2021,,62(?),67,1,,,,,7,1,67,79,80,1,0,90,,,,,,,,,,,,,,,,94,93,8,0,,7,,,,,117,MV129,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLD/CLEANED,,,,,N0/HORNET,,,,,N0,,,,,N4,,,,,N4 dead hornet in box,,,,,EN7/FP/NDX/FX/BLUTI/12:10,,,,INC,,,,,,,,,EN2+/YN5+(1)/FP/NDX/FX/16:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
,MV,130,1,GRETI,EN1,25/06/2021,Female didn't incubate at day 59 - 8 eggs day 73,57,73,1,,,,,9,1,74,86,86,1,1,97,,,,,,,,,,,,,,,,100,101,5,0,,8,,,,,117,MV130,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLD?N5?/FA/BLUTI,,,,,N5,,,,,N5/FP/FX/NDX/13:36/GRETI,,,,,EN1/CO/NP/GRETI/10:55,,,,,EN3/FP/NDX/FX/GRETI/13:06,,,,,INC,,,,EN6/YN0/FP/NDX/FX/GRETI/12:45,,EN8/NP/CO-LW/GRETI/10:33 Still laying,,,EN9/NP/WA/GRETI/9:05,,,,,,,,,,EN2+/YN5+(1)/FP/ND/FX/9:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN1,,,,,,,,,,,,,,,,,,,,
,MV,131,,,Wasp back,01/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MV131,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLD/WASP/NOT CLEANED,,,,,OLD/WASP/NOT CLEANED,,,,,,,,,,CLEANED,,,,,Wasp back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,132,1,GRETI,EMPTY,25/06/2021,"paused laying, or took over nest",41,57,0,,,,,7,1,57,69,70,1,2,81,,,,,,,,,,,,,,,,84,84,5,0,,5,,,,,117,MV132,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN2/CO/NP/13:05,,,,,EN2/CO/NP/GRETI/13:00,,,,,N5/EN2/CO/NP/13:30/GRETI,,,,,EN7/FP/FL/WA/GRETI/10:48,,,,,,,,,,INC,,,EN2/YN5(1)NP/GRETI/14:32,,,,,VC4/12:19/FP/FX-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
,MV,133,,,TOO HIGH NO BRACKET,11/04/2021,TOO HIGH NO BRACKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MV133,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOO HIGH NO BRACKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,134,,,TOO HIGH NO BRACKET,11/04/2021,TOO HIGH NO BRACKET,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,MV134,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOO HIGH NO BRACKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV,136,1,BLUTI,EMPTY,25/06/2021,,56,65,1,,,,,10,1,68,80,80,1,,90,,,,,,,,,,,,,,,,94,93,6,0,,10,,,,,117,MV136,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5,,,,,N5,,,,,N5/FA/13:23/BLUTI?,,,,,EN2/CO/NP/BLUTI/10:42,,,,,EN7/NP/CO/BLUTI/12:52,,,,,EN10/CO/NP/BLUTI/12:03,,,,EN10/FA/WA/BLUTI/12:32,,,,,,,,,EN2/YN8(1)/NP/BLUTI/16:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
,MV,137,1,BLUTI,EMPTY,25/06/2021,,52,58,1,,,,,7,1,58,70,73,1,0,83,,,,,,,,,,,,,,,,87,87,6,0,,7,,,,,117,MV137,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5,,,,,N5,,,,,N5/EN1/CO/NP/13:21/BLUTI,,,,,EN6/CO/NP/BLUTI/10:40,,,,,EN7/FP/ND/FX/BLUTI/12:47,,,,,INC,,,EN6/YN0/FP/NDX/FX/BLUTI/14:30,EN6/YN0/FP/NDX/FX/BLUTI/12:38,,EN1/YN6(1)/NP/BLUTI/10:23,,VC2/12:15/NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
,MV,138,1,GRETI,EMPTY,25/06/2021,,50,56,1,,,,,7,1,58,70,70,1,,81,,,,,,,,,,,,,,,,84,84,5,0,,7,,,,,117,MV138,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLD/CLEANED,,,,,N3,,,,,N5/EN3/CO/NP/13:19,,,,,EN7/CO/NP/GRETI/10:35,,,,,EN7/FP/NDX/FX/GRETI/12:45,,,,,INC,,,EN?/YN6(1)FP/NDX/FX/GRETI/14:23,,,,,,,,,,,VC3/NP/11:45-12:58/NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
,MV,140,1,BLUTI,EMPTY,25/06/2021,,37,47,0,,,,,11,1,47,59,63,1,,73,,,,NA,,,NA,,,,,,,,,77,NA,0,?,,11,,,,,117,MV140,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN6/CO/NP/BLUTI/12:40,,,,,EN10/CO/NP/12:50/BLUTI,,,,,N5/EN11/WA/NP/13:26/BLUTI,,,,,,,,NP/EN11/WA/12:40,,EN11/YN(0)/FP/NDX/FL/BLUTI/12:40,,EN?/TN?(2)/FP/FX/BLUTI/10:40,,,FP/FX/VC2/12:00-13:14/FP/FX,,,,,,,,,,YN0/fledged?/abandoned??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total active nests,107,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total active nests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
