,RFID,Row.names,X,Date,Hmsec,CounterID,nestbox,year,latency,repeat_birds,sex,Age2019BreedingSeason,Age2020BreedingSeason,Age2021BreedingSeason,ageFinal
27,0110170C32,44,1,22/05/2019 12:36,926,c1254 ,mw25,2019,1019,TRUE,F,adult,adult,adult,adult
29,01101715AA,17,2,10/05/2019 09:16,330,c1252 ,mw113,2019,505,FALSE,M,juvenile,adult,adult,juvenile
30,01101715AF,2,2,03/05/2019 08:07,914,c1252 ,mw10,2019,171,FALSE,M,adult,adult,adult,adult
33,01101719EF,106,2,22/05/2019 09:52,237,c1254 ,mw73,2019,0,FALSE,F,NA,NA,NA,adult
34,0110171B3A,21,1,01/05/2019 12:07,113,c1272 ,mw115,2019,1127,FALSE,F,juvenile,adult,adult,juvenile
35,110172636,24,1,10/05/2019 09:26,220,c1256 ,mw129,2019,682,FALSE,F,NA,NA,NA,juvenile
36,011017319D,28,2,05/05/2019 12:23,746,c1252 ,mw140,2019,857,FALSE,M,juvenile,adult,adult,juvenile
37,01101737FA,6,2,03/05/2019 08:05,722,c1272 ,mw102,2019,466,FALSE,F,juvenile,adult,adult,juvenile
38,01101738AB,96,2,09/05/2019 13:23,853,c1256 ,mw6,2019,528,FALSE,M,NA,NA,NA,adult
39,0110173AAF,90,1,09/05/2019 09:24,491,c1252 ,mw55,2019,1237,FALSE,M,adult,adult,adult,adult
40,110174603,45,2,22/05/2019 12:28,766,c1254 ,mw25,2019,573,FALSE,M,juvenile,adult,adult,juvenile
41,011017483B,22,2,01/05/2019 11:56,416,c1272 ,mw115,2019,475,FALSE,M,adult,adult,adult,adult
42,0110174D11,101,1,17/05/2019 10:59,473,c1254 ,mw64,2019,304,FALSE,F,adult,adult,adult,adult
43,0110174D6C,77,1,07/05/2019 11:38,532,c1256 ,mw45,2019,437,FALSE,M,juvenile,adult,adult,juvenile
44,0110174FC8,54,1,10/05/2019 10:19,4,c1252 ,mw27,2019,1258,TRUE,F,NA,NA,NA,adult
46,1.10E+07,120,1,04/05/2019 08:41,23,c1254 ,mw93,2019,438,FALSE,F,juvenile,adult,adult,juvenile
47,01103F4609,25,2,10/05/2019 09:19,285,c1256 ,mw129,2019,238,FALSE,M,adult,adult,adult,adult
54,01103F5B01,66,2,09/05/2019 10:17,958,c1256 ,mw34,2019,557,FALSE,F,juvenile,adult,adult,juvenile
59,01103F706A,93,2,14/05/2019 12:25,325,c1256 ,mw56,2019,1475,FALSE,F,NA,NA,NA,adult
60,01103F8B9A,75,1,07/05/2019 11:26,979,c1272 ,mw44,2019,238,FALSE,M,juvenile,adult,adult,juvenile
121,419483034,56,3,10/05/2019 10:02,718,c1252 ,mw27,2019,262,FALSE,M,NA,NA,NA,adult
