FinalAudit,site,boxNumber,nestAttempt,Species,currentNestStatus,dateLastChecked,comments,firstEggLayDate,lastEggLayDate,lastEggLayDateCertainty1/0,eggWeight,numberEggsWeighed,weighDate,accidentalBreakage,finalClutchSize,IncubationConfirmed,incubationStartDate,checkHatchingDate,actualHatchDate,hatchCertainty1/0,numberEggsNotViable,expectedAdultTrappingDate,actualMaleTrappingDate,actualFemaleTrappingDate,trappingStatusTU/TN,numberTrapAttemptsM,maleID,maleColourRing,pitIDM,numberTrapAttemptsF,femaleID,femaleColourRing,pitIDF,expectedPullusRingingDate,actualPullusRingingDate,totalPullusRinged,numberPullusNotRinged,numberFledged,numberDeadPreRinged,preRingedDeadID,numberDeadPostRinged,postRingedDeadID,dateNestCleaned,site+boxNumber,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
1,MW,1,1,BLUTI,YN9/EN1,18/05/2019,MATERIAL USED 5+,48,57,1,3.7,3,53,,10,1,59,70,72,1,0,82,NONE,81,,,unk,,,,Z066211,,011016B8F7,84,84,9,0,9,1,,0,,104,MW1,,,,,,,,,,,,,,N4/MA,,,,N4/MU/NP,,,,,N4/MU(5+),,,,,EN1/CO/NP/EW1.3(1)/MU(5),,,,,EN4/EW3.7/NP/CO/MU(5+),EN5,,,EN8/CO/MU,,,,,EN10/FP/FX/BLUTI,,,,,,,,FP/FX/EN9+/BLUTI,,YN6+(2)/EN1/NP,,,,,,,YN9/EN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,3,1,BLUTI,NP/EN1/MU(3),01/05/2019,MATERIAL USED 3,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,104,MW3,,,,,,,,,,,,,,N2/MA,,,,N3,,,,,N3,,,,,N4/MU(5),,,,,N4/MU(5),,,,EN1/CO/BLUTI/MU(3),,,,,NP/EN1/MU(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,4,,,N0,01/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,MW4,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,N0,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,5,1,BLUTI,YN7/EN1,09/05/2019,,42,49,1,,,,,8,1,49,60,63,1,0,73,73,73,,,Z066645,,011016D7B1,,Z066406,,011016D6EB,75,75,6,0,6,2,,0,,87,MW5,,,,,,,,,,,,,,N3/MA,,,,N3,,,,,EN1/CO/BLUTI?,,,,,EN7/CO/NP/BLUTI,,,,,EN8?/FP/F/BLUTI,,,,EN8/NP/WA,,,,FP/FX/EN4+/BLUTI,FP/FX/EN8/BLUTI,FP/YN3+(1)/EN3+/10:35/GRETI,NP/YN5?/EN1/IBI(4)/8:16,,,,,,YN7/EN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,6,1,GRETI,YN7/EN0,10/05/2019,,42,48,1,3.2,2,43,,7,1,49,60,63,1,0,74,74,74,,,Z066203,,01101738AB,,Z066324,,011016FB0C,77,77,6,0,6,1,,0,,87,MW6,,,,,,,,,,,,,,N2/MA,,,,N3,,,,,EN2/EW3.2(2)/CO/NP,,,,,EN7/CO/NP,,,,,EN7/FP/FX/GRETI,,,,INC,,,,FP/FX/EN6+/GRETI,FP/FX/EN7/GRETI,FP/YN31+(1)/10:30,FP/FX/ND/IBI(5)/8:21,,,,,,,YN7/EN0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,7,1,GRETI,FP/FL/YN6(1)/EN2/IBI(3)/GRETI,30/04/2019,abandoned. Chicks very small and no feathers at day 7. VC detected untagged individual(s) entering. Coudl this be nest of female found dead by AC groundskeepers? ,40,48,0,4.9,3,43,,9,1,48,59,61,1,,72,na,na,,,,,011016C265,,,,01101737FA,75,na,na,na,na,,,,,,MW7,,,,,,,,,,,,,,EN1/NP/CO,,,,N4/MA loose,,,,,EN4/EW4.9(3)/CO/NP,,,,,EN8(?)/FP/FX/GRETI,,,,,EN9/WA/NP,,,,INC,,FP/FX/EN4+/GRETI,NP/EN9,FP/FL/YN6(1)/EN2/IBI(3)/GRETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,8,1,GRETI,YN9,06/05/2019,MATERIAL USED 3- abandoned,36,43,0,5,3,43,,8,1,44,55,61,1,,72,na,na,,,Z066268,,011016FE22,,unk,,unk,75,na,,,0,,,,,,MW8,,,,,,,,,,,,,,N3,MA,,,N3,,,,,EN8/EW5.0(3)/CO/NP/MU(3),,,,,EN8/FP/FX/ND/GRETI,,,,,INC,,EN3+/YN0/FP/FX,FP/FL/EN9,FP/FX/EN?,NP/EN9/WA,FP/FX/EN9?,FP/FX/EN9,FP/FX/YNI+(1)/IBI(1),,,,,,YN9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,9,1,GRETI,YN9,30/04/2019,,28,38,1,4.9,3,38,,11,1,44,55,55,1,0,66,66,67,,,Z066321,,04194841F7,,Z066346,,011016F437,69,70,5,0,5,6,NA,0,,2020,MW9,,,,,,,,,,,,,,EN6/CO/NP,,,,EN10/CO/EW4.9(3)/NP,,,,,EN11/CO/NP,,,,,FP/FX/E11?/GRETI/PIT,,,,,INC,,YN8+(1)/FP/FX/EN0/ND,YN2+(2)/FP/FX,INC,,,VC1/9:45/FP/FX/ND/END10:40,YN9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,10,1,GRETI,YN9,04/05/2019,,34,41,1,5,3,38,,8,1,44,55,58,1,0,69,68,68,,,TV34390,,011016C265,,Z066471,,01101737FA,72,72,6,0,6,2,,0,NA,84,MW10,,,,,,,,,,,,,,EN1/NP/CO/GRETI?,,,,EN5/CO/EW5.0(3)/NP,,,,,EN8/CO/NP,,,,,FP/FX/EN8(?)/GRETI/PIT,,,,,INC,,EN8/WA/NP,FP/EN4+/FX,NP/EN8/WA,FP/FX/YN2+(1)/GRETI,NP/YN8(2)/EN0/IBR(3)/8:57,,,,,,YN9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,11,1,BLUTI,abandoned,12/05/2019,MATERIAL USED 5+,37,47,1,,,,,11,1,47,58,60,1,,70,,70,,,?,,,,Z066873,,,72,Na,,,0,3,,,,,MW11,,,,,,,,,,,,,,N4/MA,,,,EN2/CO/NO/MU(5+),,,,,EN7/CO/NP/BLUTI,,,,,FP/TS/FL/EN11/BLUTI,,,,,INC,,NP/EN10/WA,,INC,FP/FX/EN2+/BLUTI,FP/EN1+/BLUTI,NP/YN7/EN3,,,,,,,YN11,,,YNX/YN3?,,,abandoned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
