FinalAudit,site,boxNumber,nestAttempt,Species,currentNestStatus,dateLastChecked,comments,firstEggLayDate,lastEggLayDate,lastEggLayDateCertainty1/0,eggWeight,numberEggsWeighed,weighDate,accidentalBreakage,finalClutchSize,IncubationConfirmed,incubationStartDate,checkHatchingDate,actualHatchDate,hatchCertainty1/0,numberEggsNotViable,expectedAdultTrappingDate,actualMaleTrappingDate,actualFemaleTrappingDate,trappingStatusTU/TN,Antenna PIT tag ID 1,BTO ring derived from Antenna ID 1,Bird Sex derived from Antenna ID 1,Antenna Pit tag ID 2,BTO ring derived from Antenna ID 2,Bird Sex derived from Antenna ID 2,numberTrapAttemptsF,numberTrapAttemptsM,Female Ring number from trapping,Feacal sample female?,Male ring number from trapping,Feacal sample male?,expectedPullusRingingDate,actualPullusRingingDate,totalPullusRinged,numberPullusNotRinged,Feacal sample?,numberFledged,numberDeadPreRinged,preRingedDeadID,numberDeadPostRinged,postRingedDeadID,dateNestCleaned,site+boxNumber,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
,MW,12,1,BLUTI,"cleaned/EN0/YX6 (approx 9 days old, abandoned after tree felling, before ringing)",16/06/2020,,,,,,,,,,,,,72,0,,82,na,na,,01103F6CD3,Y584323,,unk,,,,,,,,,84,na,,,,,,,,,108,MW12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP/FX/YN6(4)/BLUTI/VC2/8:55-10:05,,,,,,YX?,,,,,,,,,,,,,,,,,,,,,,,,,,,"cleaned/EN0/YX6 (approx 9 days old, abandoned after tree felling, before ringing)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,13,,,N0,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,14,1,BLUTI,cleaned/EN3/YX0,16/06/2020,,,,,,,,,,,,,69,0,2,79,na,na,,01103F4206,Y584292,,01103FC5AF,ABL3856,,,,,,,,81,81,,,,,,,,,108,MW14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN5(7/FP)/EN2/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN3/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,15,1,GRETI,cleaned/EN0/YN0,16/06/2020,,,,,,,,,,,,,68,0,,79,,79,,011016FB0C,Z066324,F,unk,,,1,1,Z066324,Y,NA,N,82,81,,,,,,,,,108,MW15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN8(8/FP)/EN0/GRETI/VC3/9:01-10:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YN0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,16,,,cleaned/EN1,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/N1/EN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,17,1,GRETI,cleaned/EN5,16/06/2020,,71,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN5/CO/GRETI,,,,,NP/EN5/CO/OLD/ABANDONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,19,1,GRETI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,68,0,,79,79,79,,01103FE1F3,Y584261,F,01101717C8,Z066358,M,,,Y584261,Y,Z066358,Y,82,79,9,0,na,,,,,,108,MW19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN9(8)/EN0/GRETI/VC4/10:18-11:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,21,1,BLUTI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,69,0,,79,79,80,,01103FB47E,ABL3873,,unk,,,2,1,AKL0566,NA,,NA,81,81,9,0,na,,,,,,108,MW21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN9(7)/GRETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,22,1,GRETI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,75,1,,86,86,86,,01103FDB47,Y584269,M,01103FE413,ABL3870,F,2,2,ABL3870,Y,Y584269,Y,89,89,5,0,N,,,,,,108,MW22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP/FX/YN?(1)/BLUTI,,,,,,,,,,,,YN5/EN0,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,23,1,BLUTI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,73,0,,83,84,84,,unk,,,unk,,,1,1,AKL0622,NA,AKL0621,Y,85,82,10,0,na,,,,,,108,MW23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP/FL/YN10(3)/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
